Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
ENENSYS;FR0013330792;ALNN6;"Euronext Growth Paris";EUR;1.04;1.065;1.01;1.065;"15/05/2026 16:10";CET;4822;4973.115;1.065;15/05/2026
ENERGISME;FR0013399359;ALNRG;"Euronext Growth Paris";EUR;0.0052;0.0054;0.0052;0.0052;"15/05/2026 17:03";CET;816092;4251.0784;0.0052;15/05/2026
"ENERGY SOLAR";ES0105687000;ALETC;"Euronext Growth Paris";EUR;2.31;2.31;2.31;2.31;"15/05/2026 10:48";CET;22;50.82;2.31;15/05/2026
ENGIE;FR0010208488;ENGI;"Euronext Paris, Brussels";EUR;27.28;27.32;26.57;26.60;"15/05/2026 17:35";CET;3638516;97232181.82;26.60;15/05/2026
ENOGIA;FR0014004974;ALENO;"Euronext Growth Paris";EUR;6.00;6.00;5.94;6.00;"15/05/2026 15:00";CET;2761;16538.10;6.00;15/05/2026
ENTECH;FR0014004362;ALESE;"Euronext Growth Paris";EUR;9.84;9.87;9.66;9.80;"15/05/2026 17:35";CET;3873;37696.17;9.80;15/05/2026
EO2;FR0010465534;ALEO2;"Euronext Growth Paris";EUR;3.02;3.16;3.02;3.10;"15/05/2026 17:35";CET;616;1900.92;3.10;15/05/2026
EQUASENS;FR0012882389;EQS;"Euronext Paris";EUR;36.80;37.40;36.70;37.00;"15/05/2026 17:35";CET;6138;227299.35;37.00;15/05/2026
ERAMET;FR0000131757;ERA;"Euronext Paris";EUR;58.60;58.65;55.30;55.70;"15/05/2026 17:35";CET;50850;2864612.425;55.70;15/05/2026
"ES VEDRA";ES0105964003;MLESV;"Euronext Access Paris";EUR;-;-;-;1.11;"18/12/2025 00:00";CET;-;-;1.11;15/05/2026
ESSILORLUXOTTICA;FR0000121667;EL;"Euronext Paris";EUR;172.00;175.025;172.00;173.25;"15/05/2026 17:36";CET;745564;129415057.40;173.25;15/05/2026
ETHERO;FR0010424697;ALENT;"Euronext Growth Paris";EUR;0.94;0.962;0.94;0.94;"15/05/2026 16:41";CET;1787;1710.814;0.94;15/05/2026
"EURASIA FONC INV";FR0000061475;EFI;"Euronext Paris";EUR;0.161;0.161;0.161;0.161;"24/04/2026 13:23";CET;1;0.16;0.161;15/05/2026
"EURASIA GROUPE";FR0010844001;ALEUA;"Euronext Growth Paris";EUR;1.22;1.22;1.22;1.22;"05/06/2025 10:04";CET;1;1.22;1.22;15/05/2026
EURAZEO;FR0000121121;RF;"Euronext Paris";EUR;47.98;48.38;47.42;47.72;"15/05/2026 17:38";CET;141856;6785808.02;47.72;15/05/2026
EUROAPI;FR0014008VX5;EAPI;"Euronext Paris";EUR;1.506;1.526;1.452;1.452;"15/05/2026 17:35";CET;249014;371196.342;1.452;15/05/2026
EUROBIO-SCIENTIFIC;FR0013240934;ALERS;"Euronext Growth Paris";EUR;21.90;22.40;21.50;22.40;"15/05/2026 17:35";CET;3805;82587.40;22.40;15/05/2026
"EUROFINS CEREP";FR0013256518;ALECR;"Euronext Growth Paris";EUR;15900.00;15900.00;15900.00;15900.00;"04/05/2026 16:33";CET;1;15900.00;15900.00;15/05/2026
"EUROFINS SCIENT.";FR0014000MR3;ERF;"Euronext Paris";EUR;59.40;59.54;58.80;59.28;"15/05/2026 17:39";CET;319233;18905439.30;59.28;15/05/2026
"EUROLAND CORPORATE";FR0010157115;ALERO;"Euronext Growth Paris";EUR;2.98;2.98;2.98;2.98;"14/05/2026 16:49";CET;50;149.00;2.98;15/05/2026
"EUROLOG CANOLA";ES0105586004;MLCAN;"Euronext Access Paris";EUR;1320.00;1320.00;1320.00;1320.00;"11/08/2021 00:00";CET;-;-;1250.00;15/05/2026
EURONEXT;NL0006294274;ENX;"Euronext Paris, Amsterdam, Brussels";EUR;140.90;141.40;137.90;138.60;"15/05/2026 17:36";CET;254518;35353618.45;138.60;15/05/2026
EUROPACORP;FR0010490920;ALECP;"Euronext Growth Paris";EUR;0.351;0.366;0.35;0.366;"15/05/2026 17:35";CET;6998;2485.728;0.366;15/05/2026
"European Medical S";BE0974497290;ALEMS;"Euronext Growth Brussels, Paris";EUR;4.70;4.88;4.70;4.88;"13/05/2026 12:15";CET;57;268.08;4.88;15/05/2026
EUROPLASMA;FR0014011QJ8;ALEUP;"Euronext Growth Paris";EUR;0.0052;0.0052;0.0048;0.005;"15/05/2026 17:35";CET;14626167;73120.0394;0.005;15/05/2026
"EUTELSAT COMMUNIC.";FR0010221234;ETL;"Euronext Paris";EUR;3.00;3.026;2.775;2.818;"15/05/2026 17:35";CET;2180925;6223470.555;2.818;15/05/2026
EVERGREEN;FR0000035784;EGR;"Euronext Paris";EUR;0.134;0.154;0.09;0.097;"15/05/2026 17:35";CET;537679;68753.008;0.097;15/05/2026
"EXACOMPTA CLAIREF.";FR0000064164;ALEXA;"Euronext Growth Paris";EUR;162.00;162.00;162.00;162.00;"15/05/2026 16:53";CET;39;6318.00;162.00;15/05/2026
"EXAIL TECHNOLOGIES";FR0000062671;EXA;"Euronext Paris";EUR;113.90;115.00;110.10;110.10;"15/05/2026 17:35";CET;28631;3194031.30;110.10;15/05/2026
"EXEL INDUSTRIES";FR0004527638;EXE;"Euronext Paris";EUR;30.50;30.50;29.60;29.60;"15/05/2026 17:20";CET;305;9108.20;29.60;15/05/2026
EXOSENS;FR001400Q9V2;EXENS;"Euronext Paris";EUR;57.75;58.90;57.35;57.80;"15/05/2026 17:35";CET;55325;3211698.60;57.80;15/05/2026
"EXPLOSIFS PROD.CHI";FR0014003AQ4;EXPL;"Euronext Paris";EUR;280.00;281.00;280.00;280.00;"15/05/2026 16:59";CET;82;22985.00;280.00;15/05/2026
FACEPHI;ES0105029005;ALPHI;"Euronext Growth Paris";EUR;2.20;2.25;2.20;2.25;"15/05/2026 14:54";CET;13;29.20;2.25;15/05/2026
"FAIFEY INVEST";ES0105553004;MLECE;"Euronext Access Paris";EUR;19.80;19.80;19.80;19.80;"29/07/2021 00:00";CET;-;-;19.30;15/05/2026
FD;FR0012300424;MLFDV;"Euronext Access Paris";EUR;0.35;0.35;0.35;0.35;"11/03/2026 11:30";CET;13;4.55;0.35;15/05/2026
"FDJ UNITED";FR0013451333;FDJU;"Euronext Paris";EUR;22.92;23.12;22.89;22.95;"15/05/2026 17:35";CET;408213;9374939.985;22.95;15/05/2026
FERM.CAS.MUN.CANNE;FR0000062101;FCMC;"Euronext Paris";EUR;2280.00;2280.00;2280.00;2280.00;"13/05/2026 11:30";CET;3;6840.00;2280.00;15/05/2026
FERMENTALG;FR0011271600;ALGAE;"Euronext Growth Paris";EUR;0.502;0.51;0.4955;0.499;"15/05/2026 17:35";CET;161893;81060.2535;0.499;15/05/2026
"FIDUCIAL OFF.SOL.";FR0000061418;SACI;"Euronext Paris";EUR;26.60;26.60;26.60;26.60;"15/05/2026 11:30";CET;1;26.60;26.60;15/05/2026
"FIDUCIAL REAL EST.";FR0000060535;ORIA;"Euronext Paris";EUR;165.00;165.00;165.00;165.00;"15/05/2026 11:30";CET;1;165.00;165.00;15/05/2026
